population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,59,Latvia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1175439000258901,0.1275378377551795,0.1083563412852268
1,All Population,5,Prevalence,59,Latvia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11033.50786439856,11951.13607565667,10171.30973967058
1,All Population,5,Prevalence,34,Azerbaijan,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1134471126523458,0.1251819533724051,0.1028323446574442
1,All Population,5,Prevalence,34,Azerbaijan,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11009.64364195854,12143.27996853679,9971.19136959456
1,All Population,5,Prevalence,106,Bahamas,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1439481849674009,0.1565838297972049,0.1312816566779986
1,All Population,5,Prevalence,106,Bahamas,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13931.01020973517,15157.432674986429,12717.82874444637
1,All Population,5,Prevalence,45,Bulgaria,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1109812681926497,0.1229810841708927,0.1001909166024268
1,All Population,5,Prevalence,45,Bulgaria,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10635.22335553362,11772.24534875083,9589.479881013289
1,All Population,5,Prevalence,48,Hungary,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1162322339143948,0.1285937665817348,0.1045982865146619
1,All Population,5,Prevalence,48,Hungary,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11109.77049705227,12273.83565667356,9993.39202358771
1,All Population,5,Prevalence,81,Germany,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1374339200170913,0.1483305525267354,0.1278165486460335
1,All Population,5,Prevalence,81,Germany,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12644.400340415299,13662.578246559582,11748.44608297088
1,All Population,5,Prevalence,95,United Kingdom,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.153637580772582,0.1655151291142208,0.1435870181602001
1,All Population,5,Prevalence,95,United Kingdom,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,14056.942854397481,15053.965484760689,13147.700313977079
1,All Population,5,Prevalence,121,Bolivia (Plurinational State of),3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1476975271761712,0.1622493589271269,0.1338368757083571
1,All Population,5,Prevalence,121,Bolivia (Plurinational State of),3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,14425.794864013238,15874.41750991126,13027.86394746946
1,All Population,5,Prevalence,14,Maldives,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.07986804627439,0.0883037524570992,0.072562795867728
1,All Population,5,Prevalence,14,Maldives,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,7829.71023454977,8662.33576517258,7110.40021383746
1,All Population,5,Prevalence,29,Tonga,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1081500413197022,0.125858820473258,0.0919221095608668
1,All Population,5,Prevalence,29,Tonga,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10525.37417972339,12234.69656653646,8937.04466190723
1,All Population,5,Prevalence,74,Andorra,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1348384746642658,0.144233210179,0.1261430489179372
1,All Population,5,Prevalence,74,Andorra,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12362.6985719003,13211.05723557028,11610.27321938321
1,All Population,5,Prevalence,24,Marshall Islands,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0959370974358874,0.1073786368334109,0.084574571407555
1,All Population,5,Prevalence,24,Marshall Islands,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,9458.69531469758,10589.94428833798,8326.54891453343
1,All Population,5,Prevalence,61,Republic of Moldova,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1169078090392315,0.1290023941722871,0.1064359215407384
1,All Population,5,Prevalence,61,Republic of Moldova,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11105.00978181924,12258.862768628249,10058.27591752776
1,All Population,5,Prevalence,11,Indonesia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0793957815078551,0.0887233731093979,0.0715688755997227
1,All Population,5,Prevalence,11,Indonesia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,7849.007855134971,8783.830910057839,7074.9393030007905
1,All Population,5,Prevalence,47,Czechia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1211586013446849,0.1341895441364186,0.1079745708958764
1,All Population,5,Prevalence,47,Czechia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11475.88281376757,12701.543387588828,10183.609881506469
1,All Population,5,Prevalence,139,Algeria,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.13683939260415,0.1458642013208877,0.1266325260994246
1,All Population,5,Prevalence,139,Algeria,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13272.13189497251,14155.85263113624,12334.31924638606
1,All Population,5,Prevalence,50,Montenegro,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1235882434979792,0.1375506623135702,0.1107730179062512
1,All Population,5,Prevalence,50,Montenegro,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11741.360733717871,13069.611686032951,10486.085403172781
1,All Population,5,Prevalence,108,Belize,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1326770979092741,0.145099808860885,0.1207628855819081
1,All Population,5,Prevalence,108,Belize,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12992.8465222865,14213.000095571451,11829.53228893362
1,All Population,5,Prevalence,186,Seychelles,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0789199907451146,0.0865343406262168,0.0721997319176666
1,All Population,5,Prevalence,186,Seychelles,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,7623.24500766175,8333.018688242699,6970.0182579618795
1,All Population,5,Prevalence,16,Philippines,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0852653179590189,0.0939442758976539,0.0776987084752368
1,All Population,5,Prevalence,16,Philippines,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8339.327740723109,9179.37383335106,7601.57295106247
1,All Population,5,Prevalence,71,Australia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1708151190553051,0.182945028769489,0.1599788985987419
1,All Population,5,Prevalence,71,Australia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,15678.917308591619,16748.19649348564,14672.09455223718
1,All Population,5,Prevalence,58,Estonia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1120581238438382,0.1231692732405765,0.1022505638584649
1,All Population,5,Prevalence,58,Estonia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10515.58629309044,11547.34438713104,9570.732515590471
1,All Population,5,Prevalence,97,Argentina,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1445640453994796,0.161642016791249,0.1301627028603917
1,All Population,5,Prevalence,97,Argentina,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13710.359683257711,15312.558233051472,12330.80505993969
1,All Population,5,Prevalence,92,Spain,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1434837050901248,0.1558629229209805,0.1320759505627503
1,All Population,5,Prevalence,92,Spain,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13204.720257221968,14308.780556317679,12137.86534967532
1,All Population,5,Prevalence,153,Syrian Arab Republic,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1568336268482181,0.1717109913832321,0.1404060067557816
1,All Population,5,Prevalence,153,Syrian Arab Republic,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,15273.00921028308,16737.16796838586,13616.05404662905
1,All Population,5,Prevalence,49,North Macedonia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1133405527011836,0.12587467685374,0.1012690206725244
1,All Population,5,Prevalence,49,North Macedonia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10863.41359670708,12068.72534268147,9681.350783062879
1,All Population,5,Prevalence,142,Iran (Islamic Republic of),3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1777253866111375,0.1932184302048332,0.1614864543800782
1,All Population,5,Prevalence,142,Iran (Islamic Republic of),3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,17284.8385860791,18800.52060370351,15668.981907357771
1,All Population,5,Prevalence,63,Ukraine,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1222122694893074,0.1351293934364573,0.1102677653835971
1,All Population,5,Prevalence,63,Ukraine,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11564.87770954635,12786.816481893558,10401.55246797799
1,All Population,5,Prevalence,189,United Republic of Tanzania,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.102985126842259,0.1124181246045808,0.0939588277565304
1,All Population,5,Prevalence,189,United Republic of Tanzania,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10257.5926096322,11196.10761442212,9356.964190292
1,All Population,5,Prevalence,141,Egypt,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1358944549855528,0.1487986632629709,0.1231511944718531
1,All Population,5,Prevalence,141,Egypt,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13310.3798868228,14596.138968232639,12050.58071035608
1,All Population,5,Prevalence,26,Papua New Guinea,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0964035687812566,0.1082956141035616,0.0846769023663174
1,All Population,5,Prevalence,26,Papua New Guinea,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,9591.85321578928,10778.98572171105,8425.3063876977
1,All Population,5,Prevalence,198,Zimbabwe,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1148723437098546,0.1262896351702062,0.1030900232679809
1,All Population,5,Prevalence,198,Zimbabwe,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11232.62306882051,12332.32457340934,10059.985620429821
1,All Population,5,Prevalence,13,Malaysia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0827660343927226,0.090870413574369,0.075604117398402
1,All Population,5,Prevalence,13,Malaysia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8038.648141264231,8845.10911330421,7339.11152564343
1,All Population,5,Prevalence,110,Dominica,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1401939695738807,0.1529942456389124,0.1275237776576663
1,All Population,5,Prevalence,110,Dominica,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13595.59949798159,14831.55705339284,12374.36966664303
