iso3c,year,youth_unemp,internet,fertility,mental_health,house_price,continent,income_group,gdp_pc,tertiary_ed,urban_pct
AFG,2023,17.494,15.92840004,4.84,0.1631364024420641,NA,Asia,AFG,378.06630312259,NA,25.4730529631167
AFG,2022,17.539,15.86629963,4.932,0.1530717960901612,NA,Asia,AFG,377.665627080705,NA,25.3939250580909
AFG,2021,16.013,16.51429939,5.039,0.1537544249161183,NA,Asia,AFG,408.625855217403,NA,25.3478620272481
AFG,2020,16.053,17.04850006,5.145,0.1512871729515531,NA,Asia,AFG,527.834554499306,10.85435962677,25.2622103446137
AFG,2019,15.52,17.60000038,5.238,0.1320280751992188,NA,Asia,AFG,557.861533207459,NA,25.1437258839803
AFG,2018,16.402,16.799999239999998,5.327,0.1315275923676729,NA,Asia,AFG,553.125151688293,9.99592018127441,24.9991645191406
AFG,2017,17.31,13.5,5.433,0.1310120201011298,NA,Asia,AFG,562.769574140988,NA,24.8352821238871
AFG,2016,14.932,11,5.542,0.1304095020793299,NA,Asia,AFG,563.872336723147,NA,24.6588345720126
AFG,2015,12.534,8.260000229,5.652,0.1299744420253892,NA,Asia,AFG,565.569730408751,NA,24.4649118421568
AFG,2014,10.094,7,5.77,0.1294143645208786,NA,Asia,AFG,575.146245808546,8.39764022827148,24.1910166387726
AFG,2013,10.104,5.900000095,5.879,0.128864913968763,NA,Asia,AFG,580.603833333096,NA,23.8077136743646
AFG,2012,10.071,5.454500198,5.985,0.1285393088491182,NA,Asia,AFG,568.929021458341,NA,23.3434391310979
AFG,2011,10.044,5,6.094,0.1283558120768881,NA,Asia,AFG,525.42698276582,3.68686008453369,22.8205691572485
AFG,2010,10.041,4,6.195,0.1284136670263013,NA,Asia,AFG,542.871030476037,NA,22.2614799010924
AFG,2009,10.056,3.55,6.295,0.1285396896849985,NA,Asia,AFG,488.830652491949,3.93815994262695,21.6885475109053
AFG,2008,10.137,1.84,6.392,0.1286898340900577,NA,Asia,AFG,417.647282647498,NA,21.1241481349633
AFG,2007,10.12,1.899999976,6.508,0.1287634674302241,NA,Asia,AFG,410.757728879097,NA,20.5906579215423
AFG,2006,10.182,2.10712364546412,6.686,0.12875366667144789,NA,Asia,AFG,367.75831169358,NA,20.1104530189181
AFG,2005,10.176,1.22414808372471,6.858,0.1287271569529128,NA,Asia,AFG,363.640141436773,NA,19.7059095753667
AFG,2004,10.111,0.105809030021958,7.018,0.1288207155341786,NA,Asia,AFG,338.637273888197,1.39064002037048,19.3993593959593
AFG,2003,10.159,0.0878912528559713,7.174,0.1290475466311411,NA,Asia,AFG,346.071627096223,1.37434995174408,19.1600346409089
AFG,2002,10.181,0.00456139517022146,7.32,0.1290757397712804,NA,Asia,AFG,338.139973643387,NA,18.9412480133309
AFG,2001,10.271,0.00472256824217368,7.453,0.1292227458379666,NA,Asia,AFG,277.118051443941,NA,18.7412381251552
AFG,2000,10.203,NA,7.566,0.1290879865966832,NA,Asia,AFG,308.318269746638,NA,18.5581995230666
ALB,2023,25.41,83.13559161,1.348,0.1419435693435878,NA,Europe,ALB,6198.17195301204,64.7293520237257,58.2106086137857
ALB,2022,24.543,82.61367544,1.355,0.1325978350305963,NA,Europe,ALB,5867.65096230557,62.647921513098,57.8643477747383
ALB,2021,27.089,79.32371752,1.365,0.1315781078574863,NA,Europe,ALB,5511.75743402862,59.9698690125562,57.5077187031778
ALB,2020,26.422,72.23767711,1.371,0.1307871923121997,NA,Europe,ALB,4980.61699524696,61.5853024328899,57.1408592155544
ALB,2019,26.942,68.5503911218006,1.395,0.1187030871336602,NA,Europe,ALB,5072.43648354739,61.4085141527142,56.7639071287255
ALB,2018,28.109,65.40000153,1.415,0.1187590780397651,NA,Europe,ALB,4893.82375538717,56.0802964109938,56.377000259892
ALB,2017,31.184,62.40000153,1.486,0.1190255054227118,NA,Europe,ALB,4648.23078660658,58.0177836674929,55.980276426546
ALB,2016,35.918,59.59999847,1.555,0.1186579522655177,NA,Europe,ALB,4431.55635814168,58.4884791901189,55.5738734464276
ALB,2015,39.628,56.90000153,1.631,0.1176197956023448,NA,Europe,ALB,4199.53912925398,61.9608485481051,55.1579291374894
ALB,2014,39.554,54.29999924,1.721,0.1177026903526118,NA,Europe,ALB,4045.11934884933,65.5507096860696,54.7325813178673
ALB,2013,31.207,51.79999924,1.741,0.1165569271084152,NA,Europe,ALB,3895.89975621942,63.8440585382953,54.2979678058548
ALB,2012,28.871,49.40000153,1.719,0.1163044438474477,NA,Europe,ALB,3771.84781862015,58.6214186004979,53.8637553661449
ALB,2011,22.697,47,1.677,0.1160369406090582,NA,Europe,ALB,3677.89457937717,49.3997040639925,53.2917382892465
ALB,2010,30.867,45,1.653,0.11524167074132011,NA,Europe,ALB,3579.82413181046,43.3279304504395,51.8815774292716
ALB,2009,27.357,41.2,1.638,0.1154915134511567,NA,Europe,ALB,3459.24695646692,32.9239883422852,50.6132439427449
ALB,2008,26.605,23.86,1.616,0.1149897967268874,NA,Europe,ALB,3345.98161761476,31.6839599609375,49.3850699230207
ALB,2007,26.645,15.03610039,1.633,0.1145017769168946,NA,Europe,ALB,3105.8796756386,30.2319297790527,48.2022815728384
ALB,2006,25.877,9.609999657,1.686,0.113781014580716,NA,Europe,ALB,2894.36032580174,26.2101001739502,47.0701050949378
ALB,2005,26.243,6.04389086404814,1.787,0.1133798508106014,NA,Europe,ALB,2712.86983830331,22.389009475708,45.9937666920583
