model,outcome,estimate,se,n,lower_95,upper_95,sig
1: bivariate,youth_unemp,0.02675717274911541,0.006779286491115514,2861,0.013469771226529004,0.04004457427170182,TRUE
"2: + GDP, ed, urban",youth_unemp,-0.04090873858043363,0.011274850126612586,2861,-0.0630074448285943,-0.018810032332272963,TRUE
3: + country & year FE,youth_unemp,0.03454946480588506,0.009150521664277236,2861,0.01661444234390168,0.052484487267868446,TRUE
1: bivariate,fertility,-0.027077927751146733,6.245846877989597e-4,2957,-0.028302113739232693,-0.025853741763060774,TRUE
"2: + GDP, ed, urban",fertility,-0.0015182234783021706,8.562255964318305e-4,2957,-0.0031964256473085585,1.599786907042172e-4,FALSE
3: + country & year FE,fertility,0.005675777790393489,4.77112723328116e-4,2957,0.004740636852670382,0.006610918728116597,TRUE
1: bivariate,mental_health,3.661317771898092e-4,1.2453423736922294e-5,2892,3.417230666654415e-4,3.905404877141769e-4,TRUE
"2: + GDP, ed, urban",mental_health,1.3453846109041505e-4,1.9447818298618856e-5,2892,9.64207372251221e-5,1.72656184955708e-4,TRUE
3: + country & year FE,mental_health,-1.1751244391396284e-4,9.147290392081757e-6,2892,-1.3544113308244308e-4,-9.95837547454826e-5,TRUE
1: bivariate,house_price,0.21217680662533417,0.03367257062788189,853,0.14617856819468567,0.2781750450559827,TRUE
"2: + GDP, ed, urban",house_price,0.2952815205389914,0.04521131884736282,853,0.2066673355981603,0.38389570547982255,TRUE
3: + country & year FE,house_price,-0.4753129366914,0.08186700377917189,853,-0.6357722640985769,-0.3148536092842231,TRUE
